comentario,codigo_semestre,nombre_curso,tipo,topico,semstre_malla,seccion,codigo,semestre,Departamento
Podría mejorar la disposición a la hora de hacer clases o alguna vez contestar las dudas en el foro. Si el 60% de la sección queda con nota final roja claramente ya no es culpa de los estudiantes....,IQ2211-1 - Otoño 2023,Química,0,Estilo de Enseñanza y Dinámica de Clases,3,1,IQ2211, Otoño 2023,Departamento de ingenieria quimica
"Profe aprenda a usar mejor el micrófono y talvez estructurar un poco más el orden de las cátedras guiándose mejor por su propio apunte, sentí las cátedras algo desordenadas",MA2601-3 - Otoño 2023,Ecuaciones Diferenciales Ordinarias,0,Estilo de Enseñanza y Dinámica de Clases,3,3,MA2601, Otoño 2023,Departamento de ingenieria matematica
Clases monótonas y poco dinámicas.,BT1211-4 - Otoño 2023,Aplicaciones de la Biología a la Ingeniería y Ciencias,0,Otros,1,4,BT1211, Otoño 2023,Departamento de ingenieria en biotecnologia
"Excelente equipo docente!!

Cami y Vicente muy buenos auxs. Siempre estaban dispuestos a ayudarnos. Un gusto haber estado en este curso:)",FI2002-3 - Otoño 2023,Electromagnetismo,1,Experiencia Educativa,4,3,FI2002, Otoño 2023,Departamento de fisica
"Me gustó el desempeño del profesor y las auxiliares

Me caen todos bien",BT1211-6 - Otoño 2023,Aplicaciones de la Biología a la Ingeniería y Ciencias,1,Calidad de la Enseñanza,1,6,BT1211, Otoño 2023,Departamento de ingenieria en biotecnologia
"Ayuda mucho que después de cada definición, dé un ejemplo que ayuda a comprender cada concepto nuevo.",MA2601-1 - Otoño 2023,Ecuaciones Diferenciales Ordinarias,1,Calidad de la Enseñanza,3,1,MA2601, Otoño 2023,Departamento de ingenieria matematica
necesariamente hay que mejorar codelco,CD2201-1 - Otoño 2023,Módulo Interdisciplinario,1,Gestión de Actividades y Evaluaciones,4,1,CD2201, Otoño 2023,Area de innovacion
A mi parecer explica muy bien la materia,FI1000-10 - Otoño 2023,Introducción a la Física Clásica,1,Calidad de la Enseñanza,1,10,FI1000, Otoño 2023,Departamento de fisica
"Un interes completo y sincero en el aprendizaje de sus alumnos, entrega de mucho material de estudio, un apoyo constante en el proceso de aprendizaje.",MA1101-8 - Otoño 2023,Introducción al Álgebra,1,Experiencia Educativa,1,8,MA1101, Otoño 2023,Departamento de ingenieria matematica
Como sugerencia creo que el profe debería anotar el enfoque de la clase o el objetivo de esta. Dado que en muchas clases el profe desarrollaba un ejercicio o demostraba una formula y luego la explicaba. Entiendo que de esta manera fomenta el pensamiento pero en general se vuelve dificil tomar apuntes de la clase y aveces uno puede perderse muy facil por lo que le es difícil volver a engancharse,FI2001-5 - Otoño 2023,Mecánica,0,Estilo de Enseñanza y Dinámica de Clases,3,5,FI2001, Otoño 2023,Departamento de fisica
"En general la profe es seria pero igualmente su forma de impartir las cátedras se me hizo amena, me encantó que buscara vincular los contenidos y aprendizajes del curso con aplicaciones industriales trascendentales en el presente y futuro de nuestro país y el mundo, denotó preocupación por que aprendiéramos efectivamente, enseñando durante las cátedras muchos ejercicios y estando siempre abierta a resolver dudas, utilizando además dinámicas lúdicas como menti, también me gustó mucho su acento y expresiones propias de su dialecto, logrando por medio de este último hacer énfasis en resultados importantes. Por otro lado, el equipo auxiliar también lo hizo genial, muy amables y atentos todos. Especial mención a Karen y Marcelo <3. gracias a todo el equipo docente por la grata experiencia del curso.",IQ2211-5 - Otoño 2023,Química,1,Experiencia y Organización del Curso,3,5,IQ2211, Otoño 2023,Departamento de ingenieria quimica
es buena onda cuando no esta haciendo clases.,MA1101-3 - Otoño 2023,Introducción al Álgebra,1,Experiencia Educativa,1,3,MA1101, Otoño 2023,Departamento de ingenieria matematica
"Tanto el profesor como los auxiliares mostraban disposición e interés en el aprendizaje de los alumnos. Las cátedras eran didácticas y era difícil aburrirse 10/10 el trabajo realizado ;D 

God Perez y auxs God",MA2001-2 - Otoño 2023,Cálculo en Varias Variables,1,Experiencia Educativa,3,2,MA2001, Otoño 2023,Departamento de ingenieria matematica
"No tengo ninguna queja con el equipo docente a excepción de Francisca Luco, la cual a lo largo de todo el semestre actuó de forma déspota y poco empática con el alumnado. Durante los horarios de clase auxiliar su modus operandi al resolver los ejercicios era dejar que nosotros resolvieramos los ejercicios y cuando le preguntabamos algo cuando no sabíamos o el como proceder con el ejercicio ella nos decia frases del estilo ""tu que crees"" o ""eso deberían saberlo"" cosa que personalmente encuentro que son comentarios agresivos y humillantes, puesto que nosotros como alumnos ibamos a las clases auxiliares para aprender y poder resolver nuestras dudas con respecto a la materia de la semana para poder llegar mas preparados a la evaluación correspondiente a la semana. A esto hay que sumarle de que no respetaba los horarios establecidos para los ejercicios en horario de auxiliar, pues siempre se pasaba de la hora ""explicando"" un ejercicio para dejarnos con 10 minutos para resolver un ejercicio que tiene una duración estimada de 30 minutos y decirnos ""chiquillos tienen hasta que nos echen de la sala"". Para rematar, en los reclamos ella no era para nada flexible al momento de escuchar nuestro razonamiento al resolver los ejercicios, lo que llevo a situaciones como amenazas de sumario por que alguien le sacó foto a una pauta bajo el argumento de que las pautas son privadas, siendo que en otras secciones esa misma pauta fue subida a material docente, o que mas de alguna persona se fuera llorando del reclamo (situación que en mi vida habia presenciado).",IQ2211-3 - Otoño 2023,Química,0,Evaluaciones y Controles,3,3,IQ2211, Otoño 2023,Departamento de ingenieria quimica
Las auxiliares bien buenas,FI2002-1 - Otoño 2023,Electromagnetismo,1,Calidad de la Enseñanza,4,1,FI2002, Otoño 2023,Departamento de fisica
"nada, paguenle mas a los auxiliares jorge y fer son la hostia",IQ2211-8 - Otoño 2023,Química,0,Experiencia Educativa,3,8,IQ2211, Otoño 2023,Departamento de ingenieria quimica
"Siempre ofrecían ayuda y orientación a lo largo del semestre, sumado al espacio creativo que brindaban",CD1100-11 - Otoño 2023,Desafíos de Innovación en Ingeniería y Ciencias,1,Experiencia Educativa,1,11,CD1100, Otoño 2023,Area de innovacion
"El docente enseña muy bien la materia de forma clara, proactiva, divertida y en lo personal, daban ganas de ir a clases para esto, además que si bien, al comienzo las tareas fueron problemáticas, creo que sirvieron mucho para aprender acerca de redes neuronales, si se le ponía empeño, no eran tan complejas como se decía, además servían mucho para tener una base para llegar a cada control en caso de que valla mal, además de esto, sirvió para llevar más alla nuestros conocimientos en cuanto a programación, muy buen docente y me hubiera gustado tenerlo en caa. Para finalizar era muy bueno que el docente en sus clases previas a cada control y exámen realizara ejercicios como los que entrarían en los controles, ya que esto hace mucho más ameno el curso y evita que nosotros nos encontremos con sorpresas desagradables en los controles como a ocurrido en semestres pasados.",MA2001-5 - Otoño 2023,Cálculo en Varias Variables,1,Experiencia y Organización del Curso,3,5,MA2001, Otoño 2023,Departamento de ingenieria matematica
Las clases eran algo lentas y a un ritmo un poco mas acelerado podian hacerse en la mitad del tiempo. Hacerlas más rapido puede ayudar a hacer ejercicios mas complejos de tipo control y ver todo el contenido del apunte,FI2001-2 - Otoño 2023,Mecánica,0,Estilo de Enseñanza y Dinámica de Clases,3,2,FI2001, Otoño 2023,Departamento de fisica
Nada,MA1101-3 - Otoño 2023,Introducción al Álgebra,1,Otros,1,3,MA1101, Otoño 2023,Departamento de ingenieria matematica
Es buen profe y se nota que le gusta lo que hace,MA1001-5 - Otoño 2023,Introducción al Cálculo,1,Reconocimiento a Profesores y Auxiliares,1,5,MA1001, Otoño 2023,Departamento de ingenieria matematica
"Que mejore el diálogo, pues es muy lento a la hora de dar clase.",MA1001-4 - Otoño 2023,Introducción al Cálculo,0,Estilo de Enseñanza y Dinámica de Clases,1,4,MA1001, Otoño 2023,Departamento de ingenieria matematica
Muy buena como aux Tiffanny y tanto ella como el docente fueron muy comprensivos con algunos problemas que se me presentaron en el ramo. :),IQ2212-2 - Otoño 2023,Termodinámica Química,1,Experiencia Educativa,4,2,IQ2212, Otoño 2023,Departamento de ingenieria quimica
"Puntualidad a la hora de clases y exámenes, en particular creo que en el examen se debió explicar con antelación que duraría tanto o se pudo dividir el curso en dos para que no fuera tan largo, y en particular creo que debido al inconveniente que se tuvo se debió haber realizado más rápido la instancia de preguntas pues habíamos muchos que teníamos compromisos",CD2201-9 - Otoño 2023,Módulo Interdisciplinario,0,Evaluaciones y Controles,4,9,CD2201, Otoño 2023,Area de innovacion
"No pude asistir a ninguna cátedra debido a circunstancias personales, por lo que deseo que mis respuestas en esta encuesta no influencien los resultados.",FI1100-2 - Otoño 2023,Introducción a la Física Moderna,1,Estilo de Enseñanza y Dinámica de Clases,2,2,FI1100, Otoño 2023,Departamento de fisica
Tratar de simplificar sus explicaciones y así ayuda a no enredarse.,FI2004-1 - Otoño 2023,Termodinámica,0,Calidad de la Enseñanza,4,1,FI2004, Otoño 2023,Departamento de fisica
"Felipe Mora simpático/agradable

Cecilia Mujica comprometida con el ramo.",CD1100-4 - Otoño 2023,Desafíos de Innovación en Ingeniería y Ciencias,1,Otros,1,4,CD1100, Otoño 2023,Area de innovacion
"pesimo nivel de los axuxiliares

la profesora podria mejorar el orden en que pasa la materia, por lo demas excelente docente",MA2601-2 - Otoño 2023,Ecuaciones Diferenciales Ordinarias,0,Estilo de Enseñanza y Dinámica de Clases,3,2,MA2601, Otoño 2023,Departamento de ingenieria matematica
"Muy buena profesora, siempre interesada en que todos entendamos antes de continuar con la siguiente materia.",MA1001-6 - Otoño 2023,Introducción al Cálculo,1,Atención y Disposición Docente,1,6,MA1001, Otoño 2023,Departamento de ingenieria matematica
quizás hacer alguna otra dinámica más que leer el apunte :),MA1001-5 - Otoño 2023,Introducción al Cálculo,0,Estilo de Enseñanza y Dinámica de Clases,1,5,MA1001, Otoño 2023,Departamento de ingenieria matematica
"Buen profe, muy buen método de enseñanza",MA1001-7 - Otoño 2023,Introducción al Cálculo,1,Experiencia Educativa,1,7,MA1001, Otoño 2023,Departamento de ingenieria matematica
"- Me pasó personalmente que en estequiometría comenzó con un nivel muy 'alto', en particular con las tablas de reacción, me costó muchísimo digerir para alguien que no habia visto eso nunca como funcionaban estas, por qué a veces tenian una flecha, que significa que se 'consume', etc. Creo que vale la pena explicar un poco mas dado que en la clase llegaba y se utilizaba directamente.



- A lo mejor un poco mas de paciencia y tolerancia, sentí que a veces las preguntas que se hacian sólo se respondian repitiendo lo que habia dicho y seria muy útil responder desde lo básico en particular para un ramo como química que incluye tanta materia (esteoquiometria).",IQ2211-1 - Otoño 2023,Química,0,Estilo de Enseñanza y Dinámica de Clases,3,1,IQ2211, Otoño 2023,Departamento de ingenieria quimica
Muy simpático y siempre dispuesto a ayudarnos,CC1000-15 - Otoño 2023,Herramientas Computacionales para Ingeniería y Ciencias,1,Atención y Disposición Docente,1,15,CC1000, Otoño 2023,Departamento ciencias de la computación
Buen profe de fisica. Los mejores auxiliares que la Universidad de Chile puede tener :),FI1000-6 - Otoño 2023,Introducción a la Física Clásica,1,Reconocimiento a Profesores y Auxiliares,1,6,FI1000, Otoño 2023,Departamento de fisica
"Sé que está sección es para comentar sobre docencia, sin embargo creo que el único problema del curso, que quizás muchas personas lo van a confundir con una mala actitud de la profe o cosas del estilo, es el gran desafío que plantea, en lo personal yo casi no tuve química en el colegio y todo en el ramo me costó x10, y siento que eso es lo que se puede mejorar, quizás enfocar alguna parte a cierta nivelación de contenidos dentro del curso para no tener que buscarlo por otros lados, el ramo se me hizo demasiado difícil, yo estaba acostumbrado a aprender cosas concretas y a tener un pensamiento mucho más mecánico que para el curso no sirve en la misma magnitud que en un ramo matemático por ejemplo.



Lo único que quiero decir es que la culpa de que muchos se echasen el ramo o que les fuera mal no es de la profe, sino que de lo diferente que es a todo lo que se ha visto hasta el momento.",IQ2211-1 - Otoño 2023,Química,0,Experiencia y Organización del Curso,3,1,IQ2211, Otoño 2023,Departamento de ingenieria quimica
"Generar instancias de participación, hacer clases de ejercicios y hacer retroalimentación de los errores más frecuentes.

Auxiliar: podría realizar consultas online, si alguien las solicita.",MA1002-2 - Otoño 2023,Cálculo Diferencial e Integral,0,Atención y Disposición Docente,2,2,MA1002, Otoño 2023,Departamento de ingenieria matematica
"Todos los ayudantes muy buenos, muy simpáticos y simpáticas, dispuestos a responder todas nuestras dudas, muy amables. 

Y con respecto a los profesores un 7 se nota que les gusta dar esta materia y eso les da gusto a los estudiantes.",CD1100-3 - Otoño 2023,Desafíos de Innovación en Ingeniería y Ciencias,1,Experiencia Educativa,1,3,CD1100, Otoño 2023,Area de innovacion
"La monotonía de la voz, para diferenciar lo que importa de lo que es relleno.",FI1000-5 - Otoño 2023,Introducción a la Física Clásica,0,Otros,1,5,FI1000, Otoño 2023,Departamento de fisica
"El profesor enseña muy bien la materia, demostrando interes y animo, que hacen una clase dinamica y entretenida",MA2001-2 - Otoño 2023,Cálculo en Varias Variables,1,Calidad de la Enseñanza,3,2,MA2001, Otoño 2023,Departamento de ingenieria matematica
En general es un buen profesor que lamentablemente tuvo faltas fuera de su poder en el semestre y que si tuviera mejor manejo en la enseñanza de la materia sería excelente en el campo.,MA1101-1 - Otoño 2023,Introducción al Álgebra,1,Calidad de la Enseñanza,1,1,MA1101, Otoño 2023,Departamento de ingenieria matematica
"Desde mi perspectiva, considero que la única área con potencial para mejora es la dinámica de las clases. Sería beneficioso que se asemejen más a las últimas que tuvimos, las cuales resultaron más didácticas y entretenidas. Me refiero específicamente a situaciones como cuando se relató la disputa entre Newton y Leibniz acerca de quién creó las derivadas, o la controversia entre l'Hôpital y Bernoulli. Aunque estos temas pueden tomar solo unos minutos de la cátedra, capturan la atención y brindan un componente de entretenimiento muy enriquecedor al aprendizaje. Incorporar más de estos elementos en las clases podría hacer que el proceso educativo sea aún más interesante y atractivo para los estudiantes.",MA1001-10 - Otoño 2023,Introducción al Cálculo,0,Experiencia y Organización del Curso,1,10,MA1001, Otoño 2023,Departamento de ingenieria matematica
"Tiene motivación y disposición, son agradables sus clases y esta interesado en nuestro aprendizaje",MA1101-5 - Otoño 2023,Introducción al Álgebra,1,Experiencia Educativa,1,5,MA1101, Otoño 2023,Departamento de ingenieria matematica
"A veces las actividades quedan muy intensas para la duración de la clase y se vuelven tarea para la casa, y esto puede ser inconveniente para algunos o algunas.",CC1000-13 - Otoño 2023,Herramientas Computacionales para Ingeniería y Ciencias,0,Estilo de Enseñanza y Dinámica de Clases,1,13,CC1000, Otoño 2023,Departamento ciencias de la computación
"Cambiar el método de enseñanza seria buena idea, los PPT resultaron al final, pero desgraciadamente fueron al final",FI1100-3 - Otoño 2023,Introducción a la Física Moderna,0,Gestión de Actividades y Evaluaciones,2,3,FI1100, Otoño 2023,Departamento de fisica
"Explicaciones muy buenas y de distintas perspectivas, atendía todas las dudas al finalizar las clases y a veces se daba el tiempo de conversar detalles extra una vez finalizada. Muy buenos auxiliares igualmente, agradecer en lo personal a Vicente que me apoyó bastante resolviendo todas mis dudas con la mejor disposición.",FI2002-3 - Otoño 2023,Electromagnetismo,1,Atención y Disposición Docente,4,3,FI2002, Otoño 2023,Departamento de fisica
Gracias profe por leer el apunte,MA1102-3 - Otoño 2023,Álgebra Lineal,1,Estilo de Enseñanza y Dinámica de Clases,2,3,MA1102, Otoño 2023,Departamento de ingenieria matematica
"Excelente profesor. Muy buen ambiente de clases, explicaciones rápidas pero entendibles totalmente.",MA1102-2 - Otoño 2023,Álgebra Lineal,1,Experiencia Educativa,2,2,MA1102, Otoño 2023,Departamento de ingenieria matematica
"Felicidades y agradecimiento al equipo auxiliar, lograron motivarme con el ramo siendo que llegaba demacrado a los ejercicios de las 8 de la mañana jaja. Full comprometidos con el curso y con que entendieramos de la mejor manera posible <3",FI2003-5 - Otoño 2023,Métodos Experimentales,1,Experiencia Educativa,3,5,FI2003, Otoño 2023,Departamento de fisica
El tono y el desenvolvimiento que tiene al dar la clase.,BT1211-3 - Otoño 2023,Aplicaciones de la Biología a la Ingeniería y Ciencias,1,Estilo de Enseñanza y Dinámica de Clases,1,3,BT1211, Otoño 2023,Departamento de ingenieria en biotecnologia
"Que se comuniquen más entre los profes, que solo haya una voz de mando, ya que al haber más de uno, se confunden las instrucciones y eso perjudica al momento de las evaluaciones (me pasó), también que mejoren el ramo en general, es terrible y todos lo terminamos odiando, las tareas que hacen en el ramo lo único que producen es perder tiempo valioso. También que dejen claras las actividades que se van a realizar tanto en el laboratorio como en la casa, las instrucciones no quedan muy claras y eso perjudica a los grupos al momento de hacer las tareas, porque algunos entienden algo diferente a lo que los profesores buscan, y pasa muchas veces que se entendió mal la instrucción y terminamos haciendo las actividades mal, perjudicando a la evaluación y a las notas.",CD1100-10 - Otoño 2023,Desafíos de Innovación en Ingeniería y Ciencias,0,Gestión de Actividades y Evaluaciones,1,10,CD1100, Otoño 2023,Area de innovacion
"La actitud hacia el alumnado de uno de los auxiliares deja mucho que desear, poca disposición de ayuda, muy mala voluntad y poco empatico",IQ2211-1 - Otoño 2023,Química,0,Evaluaciones y Controles,3,1,IQ2211, Otoño 2023,Departamento de ingenieria quimica
"Me dio la impresión de haber ido a 3/4 de sus clases que está comprometido con que los estudiantes aprendan y tiene buena disposición para las dudas, además maneja la materia en un nivel más práctico.",MA2601-4 - Otoño 2023,Ecuaciones Diferenciales Ordinarias,1,Evaluaciones y Controles,3,4,MA2601, Otoño 2023,Departamento de ingenieria matematica
'Siempre muy dedicada.,BT1211-3 - Otoño 2023,Aplicaciones de la Biología a la Ingeniería y Ciencias,1,Otros,1,3,BT1211, Otoño 2023,Departamento de ingenieria en biotecnologia
seco slay!,BT1211-9 - Otoño 2023,Aplicaciones de la Biología a la Ingeniería y Ciencias,1,Reconocimiento a Profesores y Auxiliares,1,9,BT1211, Otoño 2023,Departamento de ingenieria en biotecnologia
Las clas podrían ser un poco más interactivas,BT1211-5 - Otoño 2023,Aplicaciones de la Biología a la Ingeniería y Ciencias,0,Estilo de Enseñanza y Dinámica de Clases,1,5,BT1211, Otoño 2023,Departamento de ingenieria en biotecnologia
"Con todo el respeto que corresponde:



Sobre el Profesor Jorge:

* El orden de las cátedras es muy útil y en lo personal me sirve para mantener también un orden en el estudio, sin embargo, siento que las cátedras fueron demasiado apegadas a su apunte... lo cual, es lógico, ya que para eso está el apunte, pero sentí que el hecho de que tuviese que leerlas constantemente era como si la estuviese preparando en el momento (lo cual, de nuevo, tiene sentido ya que la gracia de un apunte por clases es precisamente ya tener las ideas listas). Con esto también está la forma en que se presentaron los contenidos, y creo que podría ser bueno hacerlo con otras palabras, es decir, no volver a anotar en la pizarra la misma definición del apunte, o quizás sí, pero introducirlo verbalmente con otras ideas, o de alguna manera no tan ""formal"" tal que a uno como estudiante lo acerque al concepto.



* Algo que podría implementar para las clases es hacer una revisión de los contenidos de la clase anterior, o quizás de los que serán necesarios para comprender los contenidos de la clase actual. Es que sentí que a veces los contenidos se seguían viendo sin recordar el significado de ciertas notaciones (por ejemplo, cuando se vio la primera clase de métodos numéricos, para la siguiente solo continuó en el punto en que quedamos, sin hacer una unión), y eso costaba un poco para hilar los contenidos.





Sobre el Auxiliar Gonzalo:

* En mi experiencia a lo largo del semestre, siento que la innovación en los tipos de ejercicios es algo que mejorar. Si bien sentí que luego de la primera encuesta docente esto cambió, aún así, a mí parecer, lo estudiado en clases auxiliares no sé si me sirvió tanto de preparación para el control (no así con auxiliares de otras secciones). Sentí que hubo muchos ejercicios de ""matraca"", pero pocos (muy pocos) teóricos.



* Otra cosa a mejorar, a mí parecer, es el control en la sala de clases. Muchas veces sentí que solo se realizaba la clase auxiliar sin pedir silencio o un poco de orden (en particular para las auxiliares extra, ya que en las programadas no iba tanta gente). Eso no me gustó mucho ya que creo que es parte del deber del auxiliar velar por una aula adecuada para todos y todas.



* El orden en la pizarra creo que también es algo a mejorar. A veces se escribía en la pizarra con muchos colores para solo un ejercicio (lo cual confunde desde lejos, ya que no se sabe si es parte del mismo ejercicio o no), la división de las pizarras era irregular también.",MA2601-1 - Otoño 2023,Ecuaciones Diferenciales Ordinarias,0,Estilo de Enseñanza y Dinámica de Clases,3,1,MA2601, Otoño 2023,Departamento de ingenieria matematica
"Clases realmente entretenidas, exelente enseñanza.",BT1211-5 - Otoño 2023,Aplicaciones de la Biología a la Ingeniería y Ciencias,1,Reconocimiento a Profesores y Auxiliares,1,5,BT1211, Otoño 2023,Departamento de ingenieria en biotecnologia
"El material presentado en las catedras era bastante bueno y se agradece la preparacion de parte del docente en hacerlos, ademas de los contantes ejemplos de la materia con ejercicios que ayudaban mucho a entender mas progresivamente el curso.

Auxiliares buenos que servian bastante para adaptarse a la dificultad de los controles y ejercicios, mucha disposicion de los auxiliares para responder dudas en el discord lo cual se agradece bastante ademas de los auxiliares extendidos.",FI1100-4 - Otoño 2023,Introducción a la Física Moderna,1,Experiencia Educativa,2,4,FI1100, Otoño 2023,Departamento de fisica
Se notaba que se preocupaba por nuestro aprendizaje.,CC1000-1 - Otoño 2023,Herramientas Computacionales para Ingeniería y Ciencias,1,Experiencia Educativa,1,1,CC1000, Otoño 2023,Departamento ciencias de la computación
"Encuentro que el mayor ""pero"" que le econtre al profe fue que no habia ningun tipo de introduccion al inicio de sus clases por lo que siempre se dificultaba el entender que estaba explicando en un principio",MA1101-7 - Otoño 2023,Introducción al Álgebra,0,Estilo de Enseñanza y Dinámica de Clases,1,7,MA1101, Otoño 2023,Departamento de ingenieria matematica
contagia alegría en sus clases y habla de cosas muy interesantes,BT1211-9 - Otoño 2023,Aplicaciones de la Biología a la Ingeniería y Ciencias,1,Estilo de Enseñanza y Dinámica de Clases,1,9,BT1211, Otoño 2023,Departamento de ingenieria en biotecnologia
"El formato de que el C2 sea el promedio de los ejercicios fue muy amigable, nos ayudaba a mantenernos al día con la materia, era una oportunidad de tener buena nota, en especial en un curso que es tan dificil, tener una base motiva mucho, el profesor es muy puntual y explica las cosas bien, los ejercicios fueron en su mayoría muy similares a los que pasaba en clases por lo que eran abordables estudiando los apuntes de las clases, los controles fueron abordables en cuanto a la materia pero también fueron creativos",FI2002-2 - Otoño 2023,Electromagnetismo,1,Calidad de la Enseñanza,4,2,FI2002, Otoño 2023,Departamento de fisica
un basado,MA2601-6 - Otoño 2023,Ecuaciones Diferenciales Ordinarias,1,Otros,3,6,MA2601, Otoño 2023,Departamento de ingenieria matematica
Profe lo intentó,MA1002-3 - Otoño 2023,Cálculo Diferencial e Integral,1,Otros,2,3,MA1002, Otoño 2023,Departamento de ingenieria matematica
"La profesora era muy agradable y simpatica enseñando la materia.

Los ayudantes en cambio solo asistian a las clases de actividades evaluadas",BT1211-7 - Otoño 2023,Aplicaciones de la Biología a la Ingeniería y Ciencias,1,Experiencia Educativa,1,7,BT1211, Otoño 2023,Departamento de ingenieria en biotecnologia
muy buena profe,FI1000-3 - Otoño 2023,Introducción a la Física Clásica,1,Experiencia Educativa,1,3,FI1000, Otoño 2023,Departamento de fisica
muy amables y comprensivos.,CD1100-12 - Otoño 2023,Desafíos de Innovación en Ingeniería y Ciencias,1,Experiencia Educativa,1,12,CD1100, Otoño 2023,Area de innovacion
"El profesor iba atrasado en las clases durante todo el semestre, habían cosas que no pasábamos hasta días antes de las pruebas, que es algo que por reglamento no se debería hacer",MA1101-10 - Otoño 2023,Introducción al Álgebra,0,Estilo de Enseñanza y Dinámica de Clases,1,10,MA1101, Otoño 2023,Departamento de ingenieria matematica
"Se preocupaba constantemente sobre si se entendían o no las clases, luego de la evaluación docente de mitad del semestre también incluyo una mayor participación de los estudiantes en la clase.",BT1211-6 - Otoño 2023,Aplicaciones de la Biología a la Ingeniería y Ciencias,1,Experiencia y Organización del Curso,1,6,BT1211, Otoño 2023,Departamento de ingenieria en biotecnologia
"nada, its perfect",CC1000-12 - Otoño 2023,Herramientas Computacionales para Ingeniería y Ciencias,0,Otros,1,12,CC1000, Otoño 2023,Departamento ciencias de la computación
"Claudia Soto muy buena docente, destacando que es primera vez que hace de profesora para este curso, explica la materia a un ritmo que permite que quede todo muy claro.

Auxiliares buenos, donde lo que más destaco son los resumenes en las guías auxiliares y sus pautas.",MA2001-4 - Otoño 2023,Cálculo en Varias Variables,1,Calidad de la Enseñanza,3,4,MA2001, Otoño 2023,Departamento de ingenieria matematica
"el profesor Juan Pedro, me pareció excepcional, pues yo jamás había tenido álgebra así, y con él y sus ayudantes logré aprender y que me gustara, lo cual es difícil para mi como persona, por lo tanto estoy totalmente agradecido por su ánimo, su manera de enseñar y buscar otras maneras(rp). Excelente profesor",MA1101-4 - Otoño 2023,Introducción al Álgebra,1,Experiencia Educativa,1,4,MA1101, Otoño 2023,Departamento de ingenieria matematica
"Sinceramente, fui a muy pocas clases de éste profesor.",MA1101-1 - Otoño 2023,Introducción al Álgebra,1,Estilo de Enseñanza y Dinámica de Clases,1,1,MA1101, Otoño 2023,Departamento de ingenieria matematica
"Muy buen profe, de los mejores",MA2001-2 - Otoño 2023,Cálculo en Varias Variables,1,Reconocimiento a Profesores y Auxiliares,3,2,MA2001, Otoño 2023,Departamento de ingenieria matematica
"Podría ser de utilidad que haga videos grabados de las demostraciones de los teoremas y en clases explicar el concepto, de forma en que se llegue a entender bien de lo que habla el teorema pero las demostraciones que muchas veces son tediosas dejarlas grabadas para poder revisarlas y sacar las estrategias para la resolución de ejercicios. Soy conciente que esto conlleva un esfuerzo extra de parte del cuerpo docente pero como contramedida las cátedras podrían acortarse.",MA1002-3 - Otoño 2023,Cálculo Diferencial e Integral,0,Estilo de Enseñanza y Dinámica de Clases,2,3,MA1002, Otoño 2023,Departamento de ingenieria matematica
Muy buen profe!! tanto el como los aux hacian muy entretenida la clase. 10/10!!!,CC1000-17 - Otoño 2023,Herramientas Computacionales para Ingeniería y Ciencias,1,Calidad de la Enseñanza,1,17,CC1000, Otoño 2023,Departamento ciencias de la computación
kiwi god,MA1102-3 - Otoño 2023,Álgebra Lineal,1,Otros,2,3,MA1102, Otoño 2023,Departamento de ingenieria matematica
Nada. Fue un gusto profe :),MA1001-6 - Otoño 2023,Introducción al Cálculo,0,Reconocimiento a Profesores y Auxiliares,1,6,MA1001, Otoño 2023,Departamento de ingenieria matematica
"Uno de los aspectos positivos del docente, es que responde cualquier consulta en plena clase e incluso se toma el tiempo de hacer consultas online, cosa que ayuda mucho al momento de aprender una materia que puede resultar compleja, otro de ellos es que usa el apunte de manera prudente tanto para explicar la materia como para hacer ejemplos ayudando al proceso general del aprendizaje.",MA1001-4 - Otoño 2023,Introducción al Cálculo,1,Atención y Disposición Docente,1,4,MA1001, Otoño 2023,Departamento de ingenieria matematica
"Buena profesora, a pesar de que sus controles eran medios difíciles, me gustaba ir a sus cátedras, las encontraba entretenidas y creo que gracias a ella se volvió uno de mis ramos favoritos este semestre.",MA2601-2 - Otoño 2023,Ecuaciones Diferenciales Ordinarias,1,Reconocimiento a Profesores y Auxiliares,3,2,MA2601, Otoño 2023,Departamento de ingenieria matematica
"No tiene mucho que ver con el curso, pero se podría evaluar lo de hacer las charlas y conversartarios de manera online.(en mi caso me hubiese gustado participar pero como no soy de Santiago y no tenia que ir a dar examen me era imposible asistir)",MA1101-4 - Otoño 2023,Introducción al Álgebra,0,Estilo de Enseñanza y Dinámica de Clases,1,4,MA1101, Otoño 2023,Departamento de ingenieria matematica
"Falta mayor claridad en los contenidos a evaluar y que se entreguen con tiempo, además falta dar ejemplos pero de manera más pausada",IQ2211-5 - Otoño 2023,Química,0,Gestión de Actividades y Evaluaciones,3,5,IQ2211, Otoño 2023,Departamento de ingenieria quimica
"Profe muy simpático, las clases muy bien explicadas, da buenas instancias para expresarse y estudiar, hace llevadero el ramo, muy bkn todo.",MA2002-2 - Otoño 2023,Cálculo Avanzado y Aplicaciones,1,Experiencia Educativa,4,2,MA2002, Otoño 2023,Departamento de ingenieria matematica
Da soluciones cuando las notas están muy malas,MA2601-2 - Otoño 2023,Ecuaciones Diferenciales Ordinarias,1,Experiencia y Organización del Curso,3,2,MA2601, Otoño 2023,Departamento de ingenieria matematica
